Class,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Gammaproteobacteria,5041,141,4229,4250,14057,13082,37532,62785,28711,94316,103,64802,83099,277,90319,66333,9606,80,57006,9039,165577,19243,44902,22082,82817,27402,61330,67627,61414,58747,92899,49136,93426,45490,69469,49529,56296,192292,81078,1253481,103917,48459,37957,307574,386814,185,215071,72023,16869,7615,244306,121769,78277,129020,191641,175313,181948,165,357,115234,171463,30,106,111,98,16,94,145138,29526
Bacilli,1114,50,10139,24752,97707,22411,50856,10856,20749,39197,30,61967,42558,46,11899,1809,7168,22,16524,33192,36951,22363,33439,61924,1023,533,1099,32290,29289,10486,4945,8867,2247,2143,7648,17321,5554,49069,24404,236207,37389,33376,6411,2830,13538,59,1717,72926,23571,65361,28223,10989,2350,12660,60698,7201,74816,64,73,13119,65836,12,25,18,12,6,7,3643,31384
Clostridia,2900,70,61654,136434,337082,72329,38893,28671,32620,105040,41,50663,929,48,134,404,4373,15,22638,31213,19459,13982,12231,3589,3284,2525,4229,215,175,75,143,560,4332,2215,1494,2934,835,4170,3712,76225,1065,214,315,777,3308,28,820,3668,3106,3878,12613,4019,1708,14302,15043,2612,22978,29,48,380,606,8,9,9,3,4,8,3696,5655
Nostocophycideae,11799,138,42986,31289,238943,29295,21018,26644,6373,17862,10,13968,2771,16,225,13095,3593,7,10354,55998,21360,4017,237,252,1378,2237,3379,231,248,279,154,864,571,10812,1039,5158,11257,31628,7268,7837,32,19,388,184,4009,4,205,371,784,215,52,27,37,43,106,48,41,3,12,18,64,1,3,1,2,0,1,184,599
Flavobacteriia,24,0,50,61,169,12,19,69,45,104,14,459,7104,0,17,32,25,2,37,138,86,11,42,273,37,658,12864,34,22,19,19,104,14,19,44,35,13,108,213,6098,60233,29544,73131,171011,11331,25,699,660,627,385,85295,80314,27,97,1077,20175,175,3,32,39920,7335,0,0,0,5,0,9,1197,1793
Betaproteobacteria,25,2,85,76,384,93,101,99,155,637,7,662,490,7,37,80,134,2,436,198,261,37,81,1793,1679,3443,13384,54,53,42,49,689,1853,83,64,44,74,731,350,4395,18134,17926,1431,1070,1733,8,1078,2631,3424,1996,19252,5914,54,2464,7300,13577,34969,10,56,66361,74653,2,4,7,5,2,4,4362,5432
Actinobacteria,142,7,834,1458,5737,866,1037,466,1326,1755,2,2597,1973,5,496,3914,907,5,309,2168,1095,319,702,530,186,48,238,714,890,765,753,3633,212,162,673,315,185,832,1232,28381,1241,2073,8422,5763,72828,29,8072,44390,40429,31041,840,421,150,764,1468,423,1559,4,11,415,1275,7,8,11,6,2,6,7663,16628
Erysipelotrichi,2367,3,2642,2663,2753,291,1103,371,392,1282,5,1544,1082,4,15,50,206,2,1431,4133,4576,2208,21376,3259,217,472,2625,20,15,10,12,444,533,498,1489,3836,5592,25753,1019,6362,4552,8097,106,62,846,9,38,187,373,76,26639,9312,363,8908,26371,5095,24650,5,16,6561,23341,0,2,0,0,0,3,12,181
Sphingobacteriia,5,0,32,67,152,37,151,57,66,123,0,74,316,3,11,16,13,3,41,77,158,22,29,24,29,177,3544,39,16,27,19,93,21,15,22,32,24,154,293,5295,5502,9705,3306,166329,10430,0,4164,3639,4696,3761,4473,1320,42,79,164,227,178,2,12,267,2719,2,2,2,1,1,0,4798,3506
Alphaproteobacteria,239,5,1891,1918,7709,861,672,710,458,549,6,579,374,18,186,641,152,5,440,1543,3476,217,432,328,411,251,1336,310,279,347,351,1362,455,408,342,496,279,1159,2419,20690,902,496,1294,2489,4064,42,3706,34249,39457,26090,5058,2594,303,755,6391,1492,2612,17,30,493,872,5,16,20,17,0,17,9434,16335
Bacteroidia,67,2,45,22,117,53,78,526,47,6542,1,3432,24,0,4,3,785,1,644,416,635,564,618,175,65,27,287,5,0,5,0,87,27,10,51,20,79,249,354,40204,492,260,20,53,1384,4,48,147,208,183,13345,2782,39,781,16804,2416,10028,2,6,1887,962,0,6,3,3,0,0,110,1039
Mollicutes,7,0,63,74,130,35,28,24,26,65,5,144,29,0,8,19,9,1,46,185,145,66,251,326,15,6,47,13,8,11,8,121,34,31,32,89,100,401,169,383,99,87,162,375,954,2,139,791,320,494,699,352,18,66,245,97,1811,1,5,572,2136,0,2,0,0,0,0,98,115
Deltaproteobacteria,28,0,84,113,584,88,71,103,26,116,1,74,39,5,22,60,21,3,51,153,88,21,16,21,31,25,222,23,17,22,42,9,16,26,11,20,43,122,143,399,36,24,41,84,112,2,174,1774,1770,1298,188,92,17,121,362,35,80,3,3,58,103,1,0,2,0,0,1,1633,1238
Spartobacteria,0,0,5,4,0,10,3,0,2,0,0,0,0,0,0,1,4,0,19,0,7,4,11,3,0,1,0,17,20,10,59,22,0,0,0,0,0,0,6,228,0,0,24,9,0,0,219,3126,1902,945,3,0,1,0,2,2,4,0,1,0,10,0,0,0,0,0,0,1630,2098
Thermoleophilia,0,0,4,39,42,6,2,0,7,0,0,0,1,0,0,0,2,0,10,8,7,3,0,0,0,0,0,5,2,8,19,7,0,0,0,1,0,0,6,58,0,0,60,62,170,0,169,1636,1968,1212,2,2,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1299,1066
Oscillatoriophycideae,77,0,329,302,1997,292,166,218,51,175,2,113,28,0,6,123,34,0,123,536,198,33,7,12,17,15,28,9,2,3,9,6,4,79,11,36,85,361,100,402,11,7,6,68,76,1,15,48,120,67,16,2,4,3,8,8,7,1,3,8,14,1,0,0,0,0,0,976,106
