Genus,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Ignatzschineria,4676,122,2880,2050,5334,10264,33286,52111,22040,51717,36,5140,989,155,393,896,8995,27,55323,6331,160605,18315,43418,20688,79745,19532,41480,297,228,278,292,9338,90825,44635,68022,48678,55428,188599,75361,1202014,59873,23296,1355,1150,19253,90,482,2683,5154,943,162499,83729,73939,105271,131684,110317,166237,73,192,81873,139220,7,26,45,16,5,18,184,12436
Pseudomonas,91,3,418,306,2736,243,165,287,70,1209,17,2718,70114,35,73680,63316,162,16,88,432,270,55,152,231,467,1545,1247,65528,59440,57244,88796,35493,440,51,115,135,96,250,409,2278,1859,1147,20653,90193,127693,27,175186,54678,2156,500,21883,10181,197,6635,1143,38763,401,8,12,8240,8339,11,38,14,23,3,38,135081,5198
Vagococcus,193,18,5909,16157,77407,18394,29230,6151,17143,32161,11,46171,16504,13,4196,429,917,10,9288,23782,26701,13192,18584,23045,256,200,385,512,511,177,209,2638,1266,1580,5022,13479,3780,31987,18339,200118,31250,29892,2649,1231,4611,11,78,257,440,154,23081,8598,1717,10176,53395,4517,58903,11,18,9372,56971,2,1,3,1,3,2,23,269
Peptoniphilus,772,24,34949,50519,202435,32150,15532,12314,18843,47696,15,41636,613,12,25,44,1200,5,11587,22036,16971,12801,10807,2847,563,258,355,47,48,9,14,319,1142,602,584,1797,141,2021,1705,50085,807,31,56,145,566,8,52,592,698,440,3457,1698,763,11284,9265,1880,4810,8,16,75,120,3,2,2,0,1,2,128,323
Calothrix,10838,124,39609,28857,219533,26520,19435,24479,5878,16429,6,12500,2580,9,175,11979,3284,5,9460,51213,19569,3537,215,227,1269,2074,3111,213,231,255,131,785,522,10039,954,4795,10403,28659,6195,5882,21,14,349,137,3770,2,189,352,730,197,40,18,22,39,92,36,26,3,7,5,37,1,1,1,1,0,1,153,549
Stenotrophomonas,3,0,2,6,46,2,6,21,6,69,0,183,32,1,8,19,6,0,22,64,78,9,11,7,12,7,32,12,21,12,4,28,12,4,8,10,13,86,297,801,246,492,7209,139185,159081,3,25,200,214,227,46,54,26,24,28,18,17,1,2,39,63,0,0,0,0,0,0,54,29
Chryseobacterium,2,0,6,15,34,1,2,8,10,17,3,205,5652,0,8,7,2,0,1,12,32,1,9,12,3,51,923,2,3,6,3,26,4,2,1,5,1,15,26,3009,18395,24283,61604,144546,8916,0,116,179,107,67,3445,543,2,4,13,15,7,0,0,365,2576,0,0,0,1,0,0,161,273
Myroides,13,0,10,17,58,3,3,36,15,15,5,172,491,0,2,8,3,0,9,27,22,0,6,252,20,468,10967,10,6,2,5,62,5,6,36,10,5,27,28,1793,32725,778,959,286,1283,13,64,159,212,53,78684,77967,13,55,924,19772,61,2,19,37685,3789,0,0,0,4,0,3,22,115
Peptostreptococcus,70,8,14089,48784,95974,28342,11151,5975,8497,26356,1,4827,10,0,4,0,2059,1,4525,2069,425,104,10,1,117,82,68,2,7,2,0,4,135,5,3,9,9,4,1,0,1,4,9,25,111,3,0,0,0,1,7,5,14,2,11,2,1,0,3,9,22,0,0,0,0,0,0,1,169
Erysipelothrix,2367,3,2642,2660,2753,290,1103,371,391,1281,5,1538,1082,4,15,40,206,2,1430,4131,4570,2205,21371,3254,217,472,2625,20,15,9,10,435,533,498,1488,3833,5590,25747,1018,6360,4551,8097,106,61,829,9,38,186,372,73,26616,9307,363,8899,26350,5078,24227,5,16,6557,23331,0,2,0,0,0,3,12,81
Vitreoscilla,1,1,13,15,37,18,30,8,21,504,3,538,305,1,7,1,22,0,21,33,47,1,11,1656,1572,3148,7130,6,11,10,2,560,1732,37,25,3,37,521,19,2674,15393,17019,157,60,723,1,21,141,267,117,7323,1178,3,2173,6390,11102,33215,5,15,59013,66711,0,0,0,0,0,0,5,229
Sphingobacterium,0,0,0,6,2,0,3,10,15,11,0,10,47,0,1,0,0,0,4,11,4,0,1,7,4,113,2266,14,4,16,0,44,0,1,0,6,0,13,29,1012,3349,7855,1402,157139,7103,0,2,5,12,39,1031,575,1,3,3,39,3,1,0,116,2324,0,1,0,0,0,0,22,4
Staphylococcus,17,2,31,24,152,4,25,18,9,14,0,36,12,1,36,244,5360,0,16,116,45,20,32,28,1,0,4,41,57,28,42,222,11,7,26,5,5,11,43,599,10,14,1449,106,2181,8,808,63562,19445,57293,17,21,26,26,72,16,40,4,0,2,17,1,3,4,0,1,1,799,22539
Propionibacterium,60,0,295,121,2690,463,506,118,687,1054,0,1758,1606,0,337,1697,220,0,19,854,195,137,140,141,115,10,16,155,200,170,187,839,124,106,441,130,113,515,487,10313,28,15,1969,1025,58626,4,5524,23426,16029,13515,81,18,21,136,347,124,215,1,0,8,16,1,0,1,0,0,0,1020,2867
Acinetobacter,18,1,37,75,192,34,102,41,186,685,9,44540,817,0,98,30,10,2,38,140,767,11,72,185,519,4212,12676,64,35,22,42,682,146,33,238,19,16,437,98,1574,13200,8719,1130,378,5978,1,65,159,176,66,13880,8498,14,89,149,4196,72,3,5,4381,1813,0,1,0,2,0,1,80,369
Carnobacterium,11,0,155,607,3878,853,1142,657,754,2448,0,5702,4717,1,3460,564,8,0,25,58,90,33,580,2394,3,2,2,28490,25505,8968,4264,3113,3,2,8,7,7,22,49,410,60,206,1141,150,121,1,1,33,3,14,5,11,5,9,11,3,18,0,0,20,27,2,1,0,1,0,0,8,7
Clostridium,67,6,2936,7961,11192,4051,2139,6874,1612,19070,9,1476,39,4,7,22,266,3,589,371,240,293,346,133,843,1300,2261,23,16,3,20,115,1501,347,322,297,191,530,838,15274,63,49,56,176,136,4,387,488,221,419,98,64,36,160,189,55,383,4,7,55,84,2,0,1,0,0,2,250,411
Sporosarcina,469,11,1207,2983,4858,835,10216,1362,229,395,5,96,97,11,48,97,216,3,3218,1265,3602,3566,4090,1923,486,230,355,27,51,17,16,36,447,181,479,1033,525,4349,1651,10497,1400,496,175,248,952,12,38,160,84,95,1841,1106,347,1248,1297,1793,3380,20,20,2068,2550,1,4,6,5,1,2,31,117
Chromatium,13,1,22,66,96,499,1856,1875,1213,1856,4,205,67,2,13,71,63,6,171,57,987,294,234,138,81,50,78,16,18,10,8,34,192,103,170,120,96,289,839,16651,10886,2094,62,106,701,9,40,157,245,51,5032,2568,2579,2533,2441,5162,4788,13,25,4188,5303,0,0,4,5,0,0,22,58
Providencia,17,0,21,9,72,19,95,146,145,1953,2,637,1193,2,34,9,6,1,16,63,91,26,170,68,153,82,590,10,5,2,4,227,134,24,0,2,2,20,68,1186,7833,4427,61,64,760,1,48,50,36,16,15780,8442,53,1823,8018,1047,1581,4,11,3065,9017,0,0,1,2,1,2,12,94
Morganella,3,0,19,1,53,11,68,235,253,2277,0,594,111,1,2,1,0,0,2,0,4,0,17,1,691,100,294,0,1,0,1,284,478,78,6,3,17,64,47,2606,2145,3169,201,130,57,1,6,35,0,0,5617,1188,151,6605,32244,1161,4708,0,2,51,332,0,0,0,0,0,0,0,29
Xanthomonas,0,0,4,1,10,1,2,3,0,8,0,5,7,0,1,2,0,0,3,5,8,0,0,0,2,1,3,6,9,0,0,1,1,1,0,3,2,6,51,183,40,203,1666,30720,24359,0,10,30,104,62,10,8,5,12,7,2,2,0,0,5,8,0,0,0,0,0,0,35,8
Yersinia,0,0,5,1,7,50,63,1746,765,4117,0,786,1434,0,1156,3,1,1,2,2,0,0,31,4,15,7,12,25,12,70,4,20,0,0,0,1,0,5,2,3508,701,1387,2018,14290,4859,0,17149,1165,17,0,107,90,4,13,446,6,90,0,0,3,65,0,0,0,0,1,0,575,21
Bacteroides,19,0,41,11,66,49,68,484,33,6331,1,3320,15,0,2,1,773,1,639,415,566,507,438,34,24,4,58,0,0,1,0,43,8,1,7,1,52,22,73,2299,398,12,9,14,34,3,23,91,120,21,6724,643,21,710,15629,2311,9762,2,5,1795,580,0,2,0,2,0,0,7,101
Dysgonomonas,40,0,0,0,2,0,6,23,11,92,0,48,5,0,0,1,0,0,1,0,63,48,150,117,28,21,173,0,0,0,0,30,11,8,42,16,25,207,221,36205,72,230,2,8,808,0,3,16,26,1,5804,1958,15,41,756,47,115,0,0,47,297,0,1,1,0,0,0,1,2
Lachnospira,44,2,1827,6009,5342,1503,2311,624,1049,3058,1,298,8,4,3,4,195,0,1911,713,159,74,97,21,52,23,72,6,4,2,1,3,77,73,47,42,21,63,37,615,18,7,8,35,93,0,1,67,17,4,1352,415,140,916,1627,82,6064,4,4,15,9,0,0,0,0,0,0,3,12
Wohlfahrtiimonas,10,0,7,24,58,199,10,147,162,3302,2,246,4,1,1,3,4,1,2,0,119,6,23,5,234,919,3087,0,0,0,0,287,180,44,365,1,25,3,14,2206,86,4,10,2,128,1,3,41,30,0,7126,1305,21,573,1528,3492,76,1,4,4463,2052,0,0,0,0,0,0,1,48
Lysinibacillus,0,0,10,51,102,22,517,485,466,140,0,728,125,0,11,7,33,0,533,2551,1409,1111,2991,13468,2,4,23,4,6,12,1,110,55,36,556,555,265,3822,16,578,174,65,24,47,141,0,33,47,36,63,5,2,0,5,21,3,13,0,0,1,8,0,0,0,0,0,0,27,123
Flavobacterium,6,0,8,6,33,1,4,6,9,18,2,21,449,0,2,5,6,1,7,23,11,4,15,5,3,67,421,10,4,10,5,3,3,3,2,6,4,39,84,454,3279,2236,5550,12084,515,3,431,34,74,68,1182,492,5,10,23,137,19,0,5,471,518,0,0,0,0,0,1,891,523
Brochothrix,3,0,5,20,107,7,24,7,56,74,0,2626,18475,0,3650,39,5,0,3,10,13,1,3,59,0,0,0,2001,1896,789,19,17,0,0,1,5,2,6,21,50,10,6,1,9,19,0,0,8,0,1,0,2,7,2,12,3,15,0,0,7,22,0,0,0,0,0,0,19,37
Proteus,2,0,44,6,373,12,274,231,1040,13249,1,3933,1099,0,2,1,6,1,8,10,0,9,0,2,22,12,129,0,0,0,0,8,38,19,0,0,1,1,0,20,1,0,0,1,1,0,0,10,0,6,1166,841,14,1406,5303,341,35,2,0,10,6,0,0,0,0,0,0,1,35
Enterococcus,71,4,1148,638,1978,431,519,112,293,699,2,1473,629,2,81,30,35,0,303,515,714,197,350,585,18,9,28,237,246,40,32,48,37,29,68,206,60,592,1139,3036,1032,641,62,65,618,2,10,72,24,30,386,265,21,159,885,133,1762,3,7,593,1871,0,1,0,1,0,0,15,229
Corynebacterium,14,3,52,28,180,7,68,49,38,120,0,298,18,0,82,1549,512,0,20,789,203,81,284,90,1,0,4,270,270,189,183,995,3,0,21,3,3,13,41,953,9,2,230,142,2774,0,212,3062,2672,5782,93,28,23,121,207,63,193,1,0,3,2,0,0,0,0,0,0,113,1475
Paenisporosarcina,3,0,5,38,40,10,517,544,394,165,0,1243,119,0,2,1,19,0,252,1420,989,712,2016,9502,1,4,19,4,3,6,3,48,101,61,658,603,267,3477,91,508,483,41,15,2,52,0,0,2,0,9,0,0,1,2,2,1,0,0,0,1,0,1,0,0,0,0,0,5,6
Enterobacter,1,0,15,0,261,79,60,2467,1018,5380,0,1453,1376,1,7644,24,0,0,4,3,5,0,0,1,3,14,51,17,9,6,2,4,0,1,1,0,0,0,3,442,20,48,35,45,498,0,899,163,20,3,362,66,0,12,130,1,12,0,1,1,5,0,0,1,0,0,0,209,827
Pedobacter,1,0,3,3,41,1,16,9,24,9,0,4,63,0,3,0,1,0,3,11,31,2,7,1,3,45,1122,4,0,3,3,40,0,1,0,4,5,6,24,3153,1165,892,477,4078,2611,0,3829,198,835,743,2140,541,1,7,14,82,4,0,0,22,136,0,0,1,0,0,0,433,354
Erwinia,0,0,0,0,9,2,1,6,4,152,0,154,269,1,1649,7,1,0,1,0,1,2,5,0,13,4,5,0,1,0,0,1,3,4,0,0,0,0,1,68,0,18,341,169,361,0,5608,3570,48,1,48,41,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,2901,4993
Oxalobacter,0,0,1,1,17,0,1,0,71,12,0,22,95,0,2,4,56,0,331,18,8,1,0,20,7,32,238,1,0,1,0,7,4,2,0,0,0,2,4,180,475,60,3,26,105,0,41,128,148,146,4399,1455,1,77,394,1639,619,0,4,4500,4400,0,0,0,0,1,1,143,108
Leucobacter,4,0,22,243,246,8,30,43,189,22,0,59,73,0,8,7,4,0,101,43,221,27,69,97,7,2,128,1,2,9,2,810,8,6,38,61,2,23,91,7389,694,1218,3552,1282,241,0,12,113,110,60,29,42,1,2,25,17,533,1,1,113,518,0,0,1,0,0,0,10,70
Rickettsia,172,1,1248,624,5120,653,287,339,46,217,1,229,29,7,12,305,45,1,149,658,489,40,49,32,135,78,134,15,10,10,8,50,158,236,75,125,154,698,1176,1718,126,61,52,672,363,1,31,84,70,43,266,175,84,111,189,101,206,3,6,130,240,0,1,0,1,0,1,77,100
Rickettsiella,8,1,23,42,236,45,16,47,12,43,1,40,20,1,11,25,8,0,31,747,294,14,6,3,9,6,8,5,7,3,6,7,6,14,2,11,12,55,55,1748,28,12,70,85,13548,0,11,26,13,32,62,36,16,17,26,99,32,1,1,40,60,0,0,0,0,0,0,23,44
Pseudochrobactrum,0,0,24,413,480,3,10,15,101,5,0,8,4,0,0,0,0,0,10,138,707,5,33,13,10,37,592,0,1,3,3,319,13,15,38,126,3,10,32,5196,55,113,184,65,41,0,5,282,295,100,2183,1306,5,130,2525,365,1206,1,1,9,51,0,0,0,0,0,0,0,1
Sphingomonas,1,1,16,32,50,14,14,16,7,16,0,13,20,1,7,11,10,0,9,31,23,10,13,3,14,3,8,19,16,21,8,47,7,4,3,2,6,28,32,249,22,14,127,107,195,6,232,2495,5347,3351,39,22,11,4,22,16,42,0,1,11,39,0,1,0,0,0,4,1219,2706
Psychrobacter,0,0,8,10,32,16,22,15,12,38,1,877,1986,2,11,73,5,0,8,8,123,3,17,81,30,119,234,524,501,190,2536,1735,21,16,41,5,2,11,28,290,1288,715,279,141,586,2,50,136,242,179,423,264,11,130,52,720,94,1,4,634,329,0,0,0,1,0,1,44,56
Helcococcus,969,9,1660,8976,2167,638,573,115,9,14,0,0,0,0,0,0,1,0,0,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111,1,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,20
Devosia,1,0,0,47,92,0,4,4,22,0,0,3,2,0,0,0,0,0,2,14,93,0,1,0,2,2,9,2,2,0,1,26,3,0,4,6,0,1,24,483,1,2,45,52,2,2,187,5720,4689,2530,59,18,4,5,91,6,15,0,0,1,3,0,1,0,0,0,0,49,342
Lactobacillus,19,1,101,481,986,89,719,112,51,40,1,142,26,2,13,62,35,1,264,219,222,250,349,736,13,1,5,52,59,45,48,95,29,25,55,275,134,290,291,6028,96,43,68,60,321,4,15,96,19,41,79,21,3,31,117,41,54,0,1,22,57,0,1,0,0,0,0,23,115
Serratia,0,0,0,2,0,1,20,53,41,352,0,123,279,0,143,3,0,1,0,5,0,0,5,1,2,1,6,0,4,15,2,26,0,0,0,0,0,0,12,522,457,435,266,2797,750,1,2800,209,5,3,70,26,2,4,103,5,17,0,0,2,21,0,1,0,1,0,0,62,188
Rhodoplanes,0,0,4,22,17,3,4,6,4,11,1,28,4,0,1,0,2,0,5,5,12,0,17,10,0,1,3,3,8,1,20,12,1,2,0,1,0,3,6,146,61,10,20,25,79,2,186,2521,2215,1251,29,22,9,18,4,34,14,0,0,19,16,0,0,0,0,0,0,1111,1614
