Species,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Calothrix parietina,10838,124,39606,28851,219496,26516,19434,24472,5878,16427,6,12499,2579,9,175,11979,3284,5,9458,51204,19565,3537,215,227,1269,2073,3110,213,231,255,131,785,522,10038,954,4795,10400,28657,6193,5881,21,14,349,136,3770,2,189,351,730,194,40,18,22,39,91,35,26,3,7,5,37,1,1,1,1,0,1,151,549
Peptoniphilus methioninivorax,535,22,32950,45078,186238,28560,12183,11002,16731,41795,12,36964,524,8,24,38,1033,4,9785,18249,15230,12014,10031,2591,463,216,255,40,41,9,10,282,862,437,503,1535,87,1722,724,45331,634,26,43,114,391,5,31,138,119,66,3144,1607,723,11127,9202,1851,4711,7,13,63,108,1,2,2,0,1,1,27,208
Pseudomonas lundensis,60,0,317,170,2004,142,71,152,34,1059,7,2514,66623,16,70456,59836,111,6,22,147,78,15,37,125,16,74,68,54119,50124,21889,84416,32905,25,2,7,29,21,18,56,506,197,361,755,428,4526,2,1105,1381,473,135,652,362,18,342,67,1553,16,0,0,207,4684,2,7,5,1,1,1,1140,161
Vagococcus teuberi,73,8,1883,4978,21770,6081,9997,1820,5311,11044,7,13395,4692,10,1382,162,331,7,2937,8099,11321,3662,4828,7459,55,57,70,403,396,116,100,565,371,433,1134,3228,906,8921,13662,46690,12746,8698,491,316,1103,6,33,97,85,47,6235,2304,473,2668,13790,434,4342,6,9,919,2777,1,0,2,1,3,0,19,80
Chryseobacterium culicis,0,0,1,7,21,1,1,7,5,15,3,192,5517,0,1,4,2,0,0,4,11,1,3,1,0,19,462,2,1,5,0,25,0,0,0,2,1,4,14,2545,16515,22811,60134,132555,5335,0,0,1,4,14,11,7,2,3,0,5,3,0,0,292,2269,0,0,0,0,0,0,4,0
Stenotrophomonas retroflexus,0,0,2,2,31,0,1,0,0,1,0,1,6,0,0,0,0,0,0,21,2,0,0,0,0,2,11,1,2,4,0,19,0,0,1,1,2,6,0,295,32,252,5400,104203,124756,0,6,57,0,19,9,5,3,2,2,0,0,0,0,4,6,0,0,0,0,0,0,5,0
Ignatzschineria indica,276,9,165,98,386,424,509,589,282,697,9,74,120,34,110,223,606,2,3443,273,6237,584,1291,916,9456,4096,8001,117,66,70,101,1304,12782,5899,4740,2848,4248,9724,21862,40143,1593,391,153,313,1228,24,148,253,194,70,15228,4803,2280,4266,12262,3460,5236,21,33,4019,5742,3,14,13,6,1,9,113,1562
Sphingobacterium faecium,0,0,0,2,0,0,0,5,7,8,0,2,33,0,0,0,0,0,0,1,0,0,0,4,0,33,69,9,4,13,0,36,0,0,0,1,0,1,2,358,1244,4231,1112,128388,6175,0,0,1,0,0,234,69,1,1,0,9,0,0,0,52,1813,0,0,0,0,0,0,3,0
Vagococcus fluvialis,3,0,6,75,334,207,236,73,236,447,1,1050,1380,0,11,2,7,0,54,111,304,276,457,358,10,35,118,1,3,0,3,6,129,87,104,611,201,1341,1207,9108,2960,1149,88,16,249,1,12,51,104,67,3657,1361,129,1323,11421,3087,42730,0,4,4955,45345,0,0,0,0,0,0,1,47
Pseudomonas moraviensis,1,0,7,5,34,0,2,3,0,1,1,6,5,1,18,3,1,0,1,15,2,0,1,1,1,0,0,170,193,1442,15,8,0,0,1,5,0,9,6,90,72,38,730,6142,9117,1,22349,10984,215,51,3,6,1,3,2,5,1,1,0,6,3,2,1,2,1,0,8,72818,340
