Class,127,126,125,124,123,122,121,120,119,118,117,116,115,114,113,112,111,110,109,108,107,106,105,104,103,102,101,100,99,98,97,96,95,94,93,92,91,90,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22
Clostridia,68935,77831,109771,79139,77581,87533,105077,140037,89276,81137,101733,97285,106099,14189,110523,90275,77762,71375,15367,62413,103804,95463,127047,60998,79305,58664,64872,83948,54691,51940,58921,91322,76223,53676,139493,102339,247297,97839,127481,58045,60660,65016,69304,76616,64599,28727,39116,66649,55601,45068,52827,34483,84344,49782,86091
Nostocophycideae,46162,49415,73352,42750,51337,57028,70024,94671,62190,52411,68431,66320,74211,7670,70393,66401,50300,45240,10133,40290,66460,60670,78056,38762,51892,37592,44209,53689,33646,33558,36507,60045,51912,35470,88931,66137,168075,61853,79933,35464,39323,42815,46041,49267,43250,19653,25407,42656,36182,28157,34399,22409,54231,31591,54503
Bacilli,35294,35794,55257,40785,41924,43746,46628,48920,41399,36134,53126,41381,55543,7432,55552,25938,41068,36079,7858,31799,54116,50745,67209,20338,36954,27816,32039,38920,29796,28177,30817,41462,37470,23954,73047,46605,124384,48428,61455,25713,31007,31212,39150,35751,34210,13754,20264,23929,26014,20270,25434,14894,41986,24489,42412
Gammaproteobacteria,7201,7625,10964,8024,8441,8815,7170,10354,8200,7538,10479,8354,10267,1441,11833,5393,9104,8748,6226,19005,12637,16825,33582,9345,8205,5460,6502,8359,5651,5386,6728,8903,7165,4577,14899,9269,23569,10177,17721,6157,8466,14339,10425,12352,11210,4229,19131,6283,6832,7734,6916,4401,7192,4545,8589
Alphaproteobacteria,6536,6932,10658,5636,7487,7758,6649,8647,8072,6491,8935,7588,9441,1128,10307,4619,8456,7332,1277,4987,10454,9925,13583,4921,6643,4953,5214,7421,4863,4623,5839,8188,6393,4300,13553,8474,22582,9554,11066,4569,5529,5014,7643,6183,5607,1996,3144,5456,4802,3347,4513,2688,6857,4323,7944
Actinobacteria,3181,3369,4588,3453,3285,3555,3424,4270,3907,3192,4036,3552,4199,658,4810,2379,3916,3259,603,2427,4549,4312,6268,2368,3342,2473,2462,3384,2399,2132,2659,3837,2970,2051,6100,3735,9969,4062,5239,2248,2476,2211,3248,2682,2584,924,1353,2453,2016,1607,1981,1188,3041,1946,3555
Erysipelotrichi,1248,1449,2211,1424,1540,1740,1238,2250,1487,1372,1669,1499,1982,277,2179,1024,1650,1502,404,1548,2147,2069,2937,1080,1329,1001,1139,1482,1000,976,1119,1712,1247,864,3049,1580,4469,1876,2423,1072,1101,1100,1612,1737,1551,475,775,1154,922,731,949,558,1334,932,1631
Oscillatoriophycideae,639,620,928,749,653,681,892,1145,836,702,848,908,903,131,1002,681,635,532,131,507,822,721,1041,585,785,547,515,795,493,485,511,716,672,437,1017,862,1902,800,1061,531,553,501,603,642,533,260,299,527,453,342,396,281,685,402,704
Ktedonobacteria,310,307,408,395,306,305,434,581,371,366,376,435,429,82,463,373,321,278,52,279,351,351,496,251,365,263,247,355,200,221,272,362,350,219,512,433,925,377,508,257,288,256,277,323,266,139,185,280,228,159,167,143,329,182,344
Flavobacteriia,98,101,205,148,113,137,63,147,142,83,170,135,164,21,186,51,213,129,12,108,214,230,336,99,111,105,117,157,311,174,178,164,90,74,254,136,426,200,208,101,108,79,193,418,4504,42,63,69,90,46,57,39,102,79,158
Bacteroidia,186,178,283,193,189,207,56,177,187,195,217,181,216,28,340,59,299,258,43,145,324,360,602,127,139,149,142,235,175,125,165,261,171,112,404,174,508,334,1004,141,152,118,283,477,521,84,96,114,150,72,118,76,166,114,233
Betaproteobacteria,145,155,255,200,170,170,136,174,172,139,213,180,211,41,312,128,180,166,53,132,238,222,314,116,169,100,122,219,141,116,153,141,165,99,317,204,498,218,395,119,138,103,173,745,764,188,583,136,96,83,87,59,147,104,207
