Genus,127,126,125,124,123,122,121,120,119,118,117,116,115,114,113,112,111,110,109,108,107,106,105,104,103,102,101,100,99,98,97,96,95,94,93,92,91,90,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22
Calothrix,42089,45039,67215,37470,47211,52270,64009,86677,56794,47768,62806,60593,68212,6975,64215,61259,46188,41731,9267,36427,61615,55845,71844,35506,47255,34439,40409,48994,30927,30762,33373,55282,47434,32340,81440,60446,155155,56587,73097,32184,36043,39286,42419,45068,39918,17981,23282,39251,33200,25835,31716,20571,50235,29022,49946
Peptoniphilus,36000,41032,60492,42560,43716,47165,58208,78237,46885,42104,55514,53304,61794,7396,58662,49229,40064,37644,8395,33946,55419,50094,66871,32482,41710,30956,34348,44309,29517,27456,30654,49164,39653,28821,77552,55017,143471,52101,68575,31083,31646,35550,37322,41273,36548,15926,21351,36413,29796,24157,28945,18613,46397,26628,45778
Vagococcus,25072,25082,38981,26803,29083,30722,32337,34119,29438,24835,33004,29295,39854,5014,39093,18485,29218,25667,5620,21963,37820,36160,46533,13199,26044,19377,22712,27133,20674,19541,21315,28739,26961,17121,52594,33461,89316,34456,43815,17716,21895,22033,27162,25451,24368,9824,14142,15494,18648,14418,18273,10493,30001,17434,29865
Peptostreptococcus,22170,24876,32863,18999,21882,27097,31004,42466,28479,26808,31989,29457,28501,4194,34601,29422,25775,23205,4658,17938,33242,30700,40287,18467,24574,18142,20621,25779,16248,15844,18268,28511,24970,16988,42458,32506,68730,31163,40020,18047,19639,20132,20882,24025,18712,8650,11955,20163,17656,14671,16604,10829,25985,15759,27347
Clostridium,4542,5031,6867,7610,4775,5472,6836,7553,5679,5090,5568,5531,6034,1016,6934,4762,5223,4521,974,4522,6463,6221,8569,4231,5515,3996,4229,5621,3846,3677,4173,5668,4369,3103,7407,5574,13302,5760,7268,3571,3616,3649,4818,4410,3551,1562,2272,4289,3401,2526,2975,2037,4960,3071,5459
Rickettsia,4561,4670,7340,3498,5224,5385,4476,6090,5523,4470,6478,5404,6576,779,6894,3236,5837,5024,902,3368,7308,6911,9294,3489,4515,3419,3661,5030,3373,3215,4023,5650,4607,3009,9346,5895,15948,6669,7347,3170,3900,3525,5242,4283,3949,1364,1880,3787,3339,2401,3176,1904,4822,3013,5464
Ignatzschineria,3247,3385,5061,2959,4067,4285,2709,4745,3637,3191,4555,3887,4920,622,5452,2540,4369,4519,4708,11120,5463,4766,6159,6410,4366,2302,3366,3843,2627,2367,2964,3923,3271,1980,7080,4299,11271,4779,10589,3218,5044,10926,4832,7330,6554,2553,14209,2605,2249,1565,2171,1313,3366,2075,3953
Pseudomonas,1618,1890,2579,1791,1989,1921,1659,2264,1873,1630,2998,1809,2358,301,2743,1136,1971,1789,264,3444,3640,8774,22608,1138,1444,1334,1280,1853,1210,1204,1532,2216,1540,1038,3571,2212,5747,2289,2621,1115,1231,1075,2257,1361,1402,489,645,1719,2839,4943,3322,2122,1658,1051,1942
Carnobacterium,1738,1591,2564,1612,1943,1837,2381,2077,1888,1898,2715,1702,2478,374,2563,1075,1959,1658,363,1343,2621,2297,3376,707,1609,1165,1363,1577,1322,1321,1318,1938,1666,1024,3368,2109,5630,2151,2802,1117,1386,1361,1959,1496,1630,610,955,1081,1173,914,1083,607,1885,1043,1928
