Phylum,127,126,125,124,123,122,121,120,119,118,117,116,115,114,113,112,111,110,109,108,107,106,105,104,103,102,101,100,99,98,97,96,95,94,93,92,91,90,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22
Firmicutes,106921,116501,169423,122931,122755,134837,155138,193628,133887,120167,158439,141987,165750,22231,170410,118616,122066,110429,23953,97028,162121,150215,199781,83494,118994,88627,99261,125920,86597,82099,92094,136254,116394,79529,218443,152459,381357,150038,193838,85953,93953,98622,111703,115597,101700,43534,60922,92982,83591,66906,80248,50643,129260,76138,131794
Cyanobacteria,49167,52621,77590,47332,54558,60358,74082,100101,66364,55731,72317,70588,78542,8367,75082,69644,53446,47899,10746,43177,70381,64421,83434,41524,55460,40172,46831,57481,36011,35896,39143,63855,55695,37701,94276,70463,177810,66018,85229,37895,42234,45491,49137,52602,45799,20979,27098,45293,38329,29739,36270,23753,57394,33548,57987
Proteobacteria,16047,17179,25107,16947,18492,19226,16003,22287,19366,16466,22624,19034,23028,3079,25850,11826,20319,18421,7989,26085,26600,30039,52006,16167,17453,12288,13584,18780,12411,11832,14783,19890,16121,10441,33057,20976,53777,23135,32965,12512,16186,21083,20519,21449,19480,7180,23970,13632,13346,12303,12883,7995,16499,10441,19259
Actinobacteria,3234,3412,4647,3539,3332,3606,3483,4336,3950,3239,4090,3604,4259,667,4886,2423,3969,3308,614,2468,4617,4376,6352,2407,3391,2522,2499,3447,2444,2165,2708,3907,3010,2078,6187,3781,10117,4116,5307,2278,2517,2236,3282,2725,2612,941,1373,2503,2049,1634,2005,1207,3076,1975,3610
Bacteroidetes,431,416,689,517,424,519,197,457,491,387,536,436,542,79,751,179,713,519,68,380,748,806,1279,309,375,353,341,539,585,433,482,570,382,279,902,465,1338,722,1444,330,352,295,675,1046,5300,172,271,274,328,185,265,169,391,255,556
Chloroflexi,312,308,410,399,307,307,434,586,373,366,378,436,431,83,464,374,323,279,52,282,352,355,498,254,367,264,247,358,201,223,274,366,354,219,514,434,930,382,508,258,290,256,277,327,268,139,186,282,229,159,167,143,330,185,346
Tenericutes,72,70,100,105,66,96,77,111,110,75,88,106,97,18,119,68,73,80,24,80,91,88,108,57,97,57,54,87,52,53,63,79,96,41,134,104,204,108,158,55,71,59,84,79,75,38,82,47,52,36,30,38,58,36,93
Thermi,31,49,79,34,43,38,47,35,44,30,37,45,50,8,63,18,54,43,12,31,86,61,101,29,43,42,40,38,38,18,50,45,24,20,73,48,129,63,70,24,47,30,62,33,25,19,24,36,20,12,28,19,40,33,50
Planctomycetes,31,22,26,26,24,30,14,29,39,19,26,35,27,3,55,5,39,23,8,28,58,51,101,22,35,16,15,24,18,13,29,46,22,12,51,34,70,37,49,19,17,16,37,26,32,8,22,19,15,12,15,15,20,14,19
